Symbol	BuyingOrders	BuyQuantity	SellingOrders	SellQuantity				
				
RAL	146	"322,780"	275	"475,070"
RDP	42	"62,870"	43	"72,440"
REE	674	"916,880"	443	"1,563,440"
RIC	49	"25,120"	32	"20,310"
SAM	200	"290,030"	179	"368,250"
SAV	27	"32,700"	29	"68,200"
SBA	86	"192,320"	96	"253,190"
SBC	27	"39,710"	35	"56,660"
SBT	261	"658,430"	226	"934,020"
SC5	71	"406,590"	81	"248,440"
SCD	12	"22,670"	20	"51,500"
SEC	132	"265,270"	72	"146,720"
SFC	18	"21,080"	19	"7,880"
SFI	59	"54,610"	51	"69,860"
SGT	35	"49,440"	29	"27,980"
SHI	45	"77,380"	120	"275,680"
SJD	23	"37,540"	34	"59,940"
SJS	159	"372,970"	148	"373,730"
SMC	45	"48,200"	63	"104,840"
SPM	63	"231,020"	82	"250,580"
SRC	142	"193,570"	302	"363,400"
SRF	26	"87,080"	52	"54,400"
SSC	4	"5,820"	14	"21,420"
SSI	682	"1,417,840"	597	"1,592,410"
ST8	20	"14,080"	10	"16,710"
STB	540	"2,932,210"	"1,004"	"3,857,370"
STG	5	"10,370"	11	"10,720"
SVC	66	"139,090"	73	"117,560"
SZL	80	"207,500"	117	"332,940"
TAC	154	"318,070"	82	"175,410"
TBC	42	"27,730"	31	"44,840"
TCL	31	"74,230"	67	"68,730"
TCM	245	"494,060"	156	"452,770"
TCR	51	"40,710"	39	"52,640"
TDC	92	"279,930"	74	"217,860"
TDH	247	"289,550"	141	"538,730"
TIC	37	"50,280"	87	"140,620"
TIE	68	"174,840"	73	"133,500"
TIX	10	"44,150"	20	"55,140"
TLG	6	"50,100"	31	"69,610"
TLH	345	"595,480"	217	"677,010"
TMP	21	"17,470"	13	"20,840"
TMS	18	"16,920"	26	"40,630"
TMT	16	"8,400"	25	"61,250"
TNA	31	"48,220"	42	"68,730"
TNC	126	"295,670"	191	"496,100"
TNT	37	"59,940"	100	"255,390"
TPC	118	"235,570"	85	"261,810"
TRA	18	"61,890"	33	"21,700"
TRC	14	"27,450"	11	"4,660"
TRI	105	"309,240"	16	"23,960"
TS4	139	"424,260"	143	"251,030"
TSC	91	"83,520"	52	"82,660"
TTF	45	"118,240"	106	"232,480"
TTP	8	"23,530"	28	"30,820"
TYA	74	"91,970"	62	"71,000"
UIC	310	"426,070"	209	"494,770"
VCB	139	"240,550"	107	"140,580"
VES	58	"217,670"	67	"290,100"
VFC	82	"170,870"	64	"142,310"
VFG	36	"41,750"	25	"22,830"
VHC	13	"2,730"	24	"10,450"
VHG	468	"2,356,730"	557	"2,847,830"
VIC	78	"296,090"	128	"212,560"
VID	402	"3,519,530"	62	"265,030"
VIP	192	"250,480"	92	"207,480"
VIS	593	"793,130"	316	"748,150"
VKP	323	"1,219,460"	188	"539,820"
VNA	93	"154,860"	64	"128,810"
VNE	645	"1,839,380"	620	"1,764,850"
VNG	54	"89,560"	61	"83,530"
VNH	49	"38,110"	37	"33,950"
VNI	42	"24,590"	33	"23,020"
VNL	27	"30,430"	23	"32,010"
VNM	114	"472,850"	209	"266,820"
VNS	27	"43,960"	19	"39,080"
VPH	156	"142,590"	76	"131,020"
VPK	64	"75,060"	115	"107,860"
VPL	42	"48,760"	92	"58,650"
VSC	20	"7,810"	34	"23,170"
VSG	295	"1,439,240"	296	"893,310"
VSH	543	"1,326,040"	217	"1,509,420"
VST	188	"433,070"	68	"256,920"
VTB	86	"130,330"	66	"143,500"
VTO	427	"960,600"	227	"551,760"
MAFPF1	41	"60,560"	39	"115,740"
PRUBF1	40	"76,550"	72	"181,880"
VFMVF1	116	"209,880"	112	"214,200"
VFMVF4	84	"132,230"	117	"294,780"
