Symbol	BuyingOrders	SellingOrders	BuyQuantity	SellQuantity				
				
SDT	0	0	0	0
SDU	0	0	0	0
SDY	0	0	0	0
SEB	0	0	0	0
SED	0	0	0	0
SEL	0	0	0	0
SFN	0	0	0	0
SGC	0	0	0	0
SGD	0	0	0	0
SGH	0	0	0	0
SHB	40000	390000000	0	0
SHC	0	0	0	0
SHN	0	0	0	0
SHS	0	0	0	0
SIC	0	0	0	0
SJ1	0	0	0	0
SJC	0	0	0	0
SJE	0	0	0	0
SJM	0	0	0	0
SKS	0	0	0	0
SME	0	0	0	0
SMT	0	0	0	0
SNG	0	0	0	0
SPP	0	0	0	0
SQC	0	0	0	0
SRA	0	0	0	0
SRB	0	0	0	0
SSG	0	0	0	0
SSM	0	0	20000	220000000
SSS	0	0	0	0
STC	0	0	0	0
STL	0	0	64600	1050290000
STP	0	0	0	0
SVI	0	0	0	0
SVS	0	0	0	0
TAG	0	0	0	0
TAS	0	0	0	0
TBX	0	0	0	0
TC6	0	0	1600	27360000
TCS	0	0	1000	18500000
TCT	0	0	0	0
TDN	0	0	0	0
TET	0	0	0	0
TH1	0	0	0	0
THB	0	0	0	0
THT	2400	33840000	0	0
THV	4000	42400000	0	0
TIG	5000	50000000	0	0
TJC	0	0	0	0
TKC	0	0	0	0
TKU	0	0	0	0
TLC	0	0	0	0
TLT	0	0	0	0
TMC	0	0	0	0
TMX	0	0	0	0
TNG	0	0	0	0
TPH	0	0	0	0
TPP	0	0	0	0
TSB	0	0	0	0
TSM	0	0	0	0
TST	0	0	0	0
TTC	0	0	0	0
TV2	0	0	0	0
TV3	0	0	0	0
TV4	0	0	0	0
TVD	0	0	0	0
TXM	0	0	0	0
UNI	0	0	0	0
V11	0	0	0	0
V12	0	0	0	0
V15	0	0	0	0
V21	0	0	0	0
VAT	0	0	0	0
VBC	0	0	0	0
VBH	0	0	0	0
VC1	0	0	0	0
VC2	0	0	0	0
VC3	0	0	0	0
VC5	0	0	0	0
VC6	0	0	0	0
VC7	0	0	0	0
VC9	0	0	0	0
VCC	0	0	0	0
VCG	62200	1201980000	0	0
VCH	0	0	0	0
VCM	10000	146310000	0	0
VCR	0	0	0	0
VCS	0	0	0	0
VCV	0	0	0	0
VDL	0	0	1000	33500000
VDS	0	0	0	0
VE1	0	0	0	0
VE2	0	0	0	0
VE3	0	0	0	0
VE9	0	0	0	0
VFR	0	0	0	0
VGP	0	0	0	0
VGS	0	0	0	0
VHH	0	0	0	0
VHL	0	0	0	0
VIE	0	0	0	0
VIG	0	0	0	0
VIT	0	0	0	0
VIX	0	0	0	0
VKC	0	0	0	0
VLA	0	0	0	0
VMC	0	0	0	0
VMG	0	0	0	0
VNC	16800	256790000	0	0
VND	0	0	0	0
VNF	0	0	0	0
VNR	17400	348500000	0	0
VNT	0	0	0	0
VSP	0	0	0	0
VTA	0	0	0	0
VTC	0	0	0	0
VTL	0	0	0	0
VTS	0	0	0	0
VTV	0	0	0	0
VXB	0	0	0	0
WCS	0	0	0	0
WSS	0	0	0	0
XMC	0	0	0	0
YBC	0	0	0	0
YSC	0	0	0	0
